	0.25	0.33	0.00	0.00	0.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08
	0.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00
	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20	0.00	0.07	0.10	0.00	0.00	0.00	0.00
	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
	0.00	0.00	0.25	0.00	0.00	0.50	0.67	0.00	0.00	0.33	0.00	0.00	0.00	0.00	0.00	0.00
	0.00	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.17	0.50	0.00	0.00
	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.50	0.00	0.00	0.00
	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
	0.25	0.00	0.50	0.00	0.00	0.00	0.33	0.00	0.20	0.33	0.14	0.00	0.17	0.00	0.00	0.00
	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.00	0.07	0.00	0.00	0.00	0.14	0.00
	0.00	0.67	0.00	0.00	0.17	0.00	0.00	0.00	0.30	0.00	0.07	0.30	0.17	0.00	0.29	0.08
	0.00	0.00	0.00	0.00	0.17	0.00	0.00	0.00	0.00	0.33	0.21	0.00	0.00	0.50	0.14	0.25
	0.00	0.00	0.00	0.00	0.17	0.25	0.00	0.00	0.10	0.00	0.21	0.00	0.00	0.00	0.00	0.00
	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00
	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.30	0.00	0.00	0.00	0.17
	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.30	0.00	0.00	0.43	0.42
